# 1000,50
-2.539,-1.375,0.192,-0.212,-2.862,-0.041,-1.284,-0.602,-0.417,0.105,-0.669,-0.819,-0.754,-0.061,-0.089,-0.781,-2.532,0.685,-1.276,-2.202,-0.422,-1.767,-0.345,-1.112,-2.271,0.352,0.155,-0.442,-1.733,0.430,-2.290,0.588,1.123,-2.177,-0.766,-0.324,-1.896,-1.675,-2.091,-0.786,-2.111,-1.131,-1.177,-1.553,0.502,-0.767,-1.106,1.092,-0.868,1.304,-1.000
1.016,1.223,0.460,1.547,1.564,0.947,1.347,1.907,-0.147,1.569,-0.557,-0.756,2.961,1.247,1.754,2.258,1.064,0.476,1.993,0.148,0.884,2.035,1.965,1.162,1.808,1.399,2.376,0.435,-0.709,2.933,0.460,-0.838,3.419,1.327,1.974,3.089,1.089,-0.014,0.446,1.151,0.954,-0.201,0.418,1.878,2.296,1.848,1.220,1.795,3.406,2.364,1.000
0.405,-0.001,-1.517,1.025,-1.097,-0.582,-1.846,-0.800,-1.398,-2.410,-0.668,0.388,0.262,-0.630,-1.517,-1.466,-2.892,-1.410,-1.726,0.773,-1.278,-0.554,0.123,-2.582,-0.904,-0.141,0.721,-1.534,-0.751,-0.508,-0.032,-1.210,0.371,-3.006,-0.542,-2.438,-0.493,-1.224,-0.826,-2.160,-2.643,-1.003,0.938,-1.728,-0.802,-1.278,0.479,-0.035,-0.613,-3.080,-1.000
2.011,1.382,1.568,0.051,-0.812,0.468,0.489,2.425,-0.067,0.883,1.545,1.463,0.986,1.478,1.934,2.153,0.683,-1.235,0.076,0.149,0.343,1.426,0.789,1.320,1.951,1.076,-0.973,0.613,0.220,0.370,-0.070,0.495,1.142,1.255,2.216,0.687,2.608,0.591,0.807,-0.871,2.020,1.796,2.578,0.409,1.639,2.027,1.546,1.993,1.072,1.257,1.000
1.405,0.501,-0.156,0.850,0.347,2.351,0.041,1.085,2.427,0.820,1.310,1.048,0.635,1.324,0.339,0.784,0.067,2.585,2.553,1.418,1.667,-0.599,-0.126,2.454,1.993,3.385,1.620,1.777,-0.328,0.624,1.546,1.479,-0.350,1.129,2.536,-0.069,0.682,1.169,0.885,1.400,-0.291,0.917,-1.090,-0.744,2.085,-0.424,0.083,1.635,0.136,1.048,1.000
-0.461,-1.602,-2.831,-2.144,-2.437,-0.256,-1.071,-1.267,-1.864,-1.652,-2.533,-1.553,-1.727,-0.023,-2.111,-0.499,-2.010,0.002,-1.813,0.577,-1.754,-1.439,-1.822,-0.429,-0.646,-0.655,-0.849,-1.044,-1.029,-1.133,-1.816,-1.160,-3.070,0.259,-0.685,-0.767,-3.140,-0.939,-1.037,-2.130,-2.074,1.955,-2.595,-1.035,0.604,-1.247,-1.895,-1.686,-1.518,-1.487,-1.000
2.078,0.635,-1.612,2.829,1.108,3.535,1.641,1.355,0.186,2.531,1.630,2.026,0.602,3.341,0.002,2.696,-0.467,1.220,1.657,1.267,0.514,0.882,1.235,1.113,-0.057,-0.154,0.995,0.919,1.497,0.847,1.629,-1.178,2.491,2.225,0.351,0.508,2.466,-1.148,0.602,-1.065,2.734,1.882,0.320,2.451,2.340,0.587,1.469,-0.226,0.720,1.387,1.000
0.978,2.168,1.372,1.454,2.822,1.850,2.893,1.484,0.057,1.190,0.246,-0.667,0.067,1.421,1.560,1.155,0.279,1.362,0.695,-1.034,-1.234,1.795,1.348,1.428,1.564,-0.657,-1.331,0.355,-0.718,1.228,0.856,0.091,0.819,1.427,1.615,2.103,0.237,1.458,0.649,1.214,1.052,2.287,-1.032,0.625,-1.546,1.045,1.803,1.941,-0.922,-0.710,1.000
1.372,-0.813,0.503,1.294,0.337,1.670,1.496,1.852,0.456,2.841,2.471,1.161,1.176,-0.571,-0.090,1.804,0.572,1.095,0.279,0.459,1.502,3.034,0.528,0.956,0.009,0.544,1.089,0.659,1.436,1.079,1.887,0.047,1.353,0.218,0.475,0.311,1.951,2.024,0.413,1.451,1.851,-0.614,0.385,0.666,0.292,1.085,0.549,0.895,1.701,1.185,1.000
1.040,2.067,2.026,2.729,2.892,-0.782,1.262,1.939,0.673,1.476,1.544,-0.107,1.278,1.094,1.724,0.719,0.994,2.239,1.986,1.218,1.974,3.184,1.353,1.476,0.118,0.154,-0.267,1.658,1.133,1.818,0.331,-0.530,0.983,0.861,0.584,-0.145,2.387,1.358,-0.553,1.635,2.400,0.584,0.277,1.433,1.215,0.044,2.238,1.281,-0.224,0.367,1.000
0.142,-0.773,0.504,1.494,0.334,2.383,0.517,0.053,0.211,0.729,1.986,1.831,2.055,-0.575,-0.587,1.231,1.761,0.669,1.441,1.290,1.052,2.333,0.362,2.100,1.287,1.208,0.483,-0.695,0.965,2.701,1.501,0.976,-0.390,0.871,0.703,1.359,0.969,0.603,-0.458,2.109,1.644,1.423,2.353,0.168,1.603,2.149,1.264,0.894,-1.058,1.610,1.000
