# 440,8
0.590,0.053,0.523,-0.041,-0.589,-0.044,-0.066,1.000
0.590,-0.391,0.544,0.170,-0.270,0.086,0.089,1.000
0.590,-0.447,0.408,-0.028,-0.137,0.133,2.241,1.000
0.590,0.100,-0.623,-0.393,0.686,-0.498,0.093,0.000
0.590,0.839,-0.052,-0.079,0.174,-0.232,1.298,1.000
0.590,-0.205,0.334,-0.297,-0.496,-0.228,-0.026,1.000
0.590,0.010,-0.352,-0.103,-0.534,0.054,-0.347,1.000
0.590,-0.350,-0.114,0.155,-0.289,0.092,0.369,1.000
0.590,-0.477,-0.291,-0.185,-0.545,-0.244,-0.275,0.000
0.590,-0.474,0.718,1.150,-0.394,0.953,0.203,1.000
0.590,-0.683,-0.053,0.529,0.274,0.649,0.078,1.000
0.590,0.091,-0.633,-0.361,-0.340,-0.489,-0.364,1.000
0.590,1.559,0.884,0.400,-0.574,0.210,0.499,1.000
0.590,0.729,0.056,0.740,0.005,0.802,-0.327,1.000
0.590,1.000,0.497,0.436,-0.572,0.456,0.228,1.000
0.590,-0.138,-0.634,-0.435,-0.551,-0.402,-0.395,0.000
0.590,-0.868,0.409,0.439,-0.605,0.341,-0.158,1.000
0.590,-0.484,0.049,-0.528,-0.460,-0.527,1.047,0.000
0.590,0.522,0.072,0.226,-0.179,-0.024,0.587,1.000
0.590,-0.334,-0.447,0.159,-0.495,-0.076,-0.363,0.000
0.590,0.438,-0.173,-0.352,-0.413,-0.131,0.212,1.000
0.590,-0.509,-0.667,-0.625,0.064,-0.526,-0.339,0.000
0.590,1.524,-0.526,-0.366,1.305,-0.105,0.996,0.000
0.590,1.136,4.150,1.480,0.429,0.305,5.318,1.000
0.590,0.842,0.539,0.615,-0.032,0.336,1.508,1.000
0.590,0.329,-0.212,-0.037,-0.591,0.235,-0.521,1.000
0.590,-0.166,-0.655,-0.536,0.016,-0.554,-0.245,0.000
0.590,0.180,-0.677,-0.516,-0.533,-0.583,-0.357,0.000
0.590,-0.624,1.990,1.895,-0.394,1.200,1.305,1.000
0.590,2.458,-0.501,-0.562,-0.386,-0.372,-0.249,0.000
0.590,0.539,-0.296,0.332,-0.396,-0.157,0.510,0.000
0.590,-0.742,-0.197,-0.507,-0.203,-0.432,-0.191,0.000
0.590,0.762,-0.607,-0.533,-0.578,-0.412,-0.397,0.000
0.590,1.402,-0.137,-0.066,0.630,-0.529,-0.157,0.000
0.590,-0.830,-0.517,-0.599,-0.545,-0.503,-0.401,0.000
0.590,-0.894,-0.041,0.330,-0.461,0.285,-0.386,1.000
0.590,1.420,-0.194,-0.266,-0.277,-0.424,1.100,0.000
0.590,0.250,0.645,0.476,-0.237,0.760,-0.288,1.000
0.590,-0.586,1.346,0.922,-0.626,0.855,-0.387,1.000
0.590,3.492,-0.710,-0.742,1.428,-0.560,0.493,0.000
0.590,0.951,-0.198,-0.336,1.326,-0.364,1.539,0.000
0.590,0.567,-0.370,-0.210,-0.214,-0.064,0.453,0.000
0.590,-0.091,0.238,0.738,-0.594,0.843,-0.524,1.000
0.590,-0.899,0.718,1.689,-0.471,1.394,-0.515,1.000
0.590,-0.184,0.167,0.265,-0.521,0.364,-0.518,1.000
0.590,-0.539,2.201,1.429,-0.274,0.938,1.227,1.000
0.590,-0.703,1.121,1.474,-0.289,0.820,-0.026,1.000
0.590,2.567,6.566,5.011,0.970,4.465,1.752,1.000
0.590,-0.038,0.048,0.307,-0.512,0.470,-0.017,1.000
0.590,-0.556,2.116,2.207,-0.262,2.245,-0.128,1.000
0.590,-0.453,-0.637,-0.628,0.162,-0.477,0.226,0.000
0.590,-0.684,-0.236,-0.101,-0.584,-0.282,-0.434,0.000
0.590,2.271,-0.255,-0.218,-0.523,-0.062,-0.088,1.000
0.590,-0.910,0.634,0.377,-0.480,0.572,-0.461,1.000
0.590,1.212,-0.589,-0.632,-0.131,-0.562,-0.068,0.000
0.590,-0.533,-0.286,-0.310,-0.415,-0.180,-0.140,0.000
0.590,-0.625,3.265,1.990,-0.094,3.116,-0.066,1.000
0.590,-0.521,0.561,0.267,-0.625,0.984,-0.086,1.000
0.590,0.141,-0.518,-0.663,-0.510,-0.557,-0.386,0.000
0.590,-0.464,-0.059,0.009,-0.606,0.042,0.028,0.000
0.590,-0.270,-0.373,-0.010,-0.613,0.255,-0.461,1.000
0.590,1.893,4.413,5.435,0.038,4.996,0.175,1.000
0.590,-0.330,0.061,-0.148,0.223,0.250,-0.199,1.000
0.590,-0.206,0.787,0.823,-0.036,1.006,-0.082,1.000
0.590,-0.572,-0.619,-0.495,0.134,-0.343,-0.135,0.000
0.590,-0.942,2.054,3.986,-0.625,4.478,-0.036,1.000
0.590,-0.948,-0.578,-0.056,-0.597,0.123,-0.531,0.000
0.590,0.626,0.130,0.580,-0.374,0.474,-0.245,1.000
0.590,-0.755,0.198,-0.417,0.576,-0.439,0.557,0.000
0.590,-0.288,-0.403,-0.701,-0.472,-0.467,-0.490,0.000
0.590,0.372,-0.509,-0.500,1.560,-0.580,-0.057,0.000
0.590,0.497,-0.614,1.378,0.474,0.271,4.591,0.000
0.590,-0.599,-0.089,-0.557,1.195,-0.327,-0.477,0.000
0.590,0.625,-0.063,0.080,1.042,-0.444,-0.311,1.000
0.590,-0.301,0.074,0.194,-0.368,-0.206,0.090,1.000
0.590,0.664,-0.631,-0.836,0.275,-0.604,-0.195,0.000
0.590,-0.892,-0.299,-0.149,0.918,-0.493,-0.224,0.000
0.590,0.016,0.935,2.167,-0.454,1.920,-0.183,1.000
0.590,-0.098,-0.626,-0.619,-0.201,-0.541,-0.481,0.000
0.590,-0.819,-0.344,-0.452,-0.454,-0.352,0.045,0.000
0.590,-0.395,-0.673,-0.520,-0.544,-0.476,-0.353,0.000
0.590,-0.932,0.507,0.679,-0.574,1.035,-0.485,1.000
0.590,-0.130,0.466,0.322,-0.481,0.137,0.290,1.000
0.590,0.702,-0.574,-0.649,-0.155,-0.489,-0.267,0.000
