# 1000,5
-2.454,-1.938,-1.566,-2.814,-2.061,0.000
-1.485,-1.464,-3.188,-1.974,-1.602,0.000
-0.723,-1.551,-0.510,-0.203,-0.999,0.000
-1.523,-1.209,0.229,-2.344,-1.014,0.000
-1.698,-2.088,-2.670,0.808,-0.760,0.000
1.783,2.356,1.099,2.445,3.452,1.000
-2.242,-1.440,-1.988,-0.486,-1.263,0.000
1.432,1.083,-0.154,1.009,0.450,1.000
-2.377,-0.210,-0.932,-2.360,-2.600,0.000
1.469,0.968,2.284,-0.180,0.931,1.000
-1.148,-1.862,-0.312,-1.319,-1.425,0.000
-1.137,-3.030,-1.223,-0.409,0.369,0.000
-1.088,-0.453,-1.530,-1.728,-3.075,0.000
-1.883,-1.535,0.411,-1.358,-2.161,0.000
1.829,0.964,1.752,1.242,1.997,1.000
0.096,-1.965,-1.161,-0.919,-1.402,0.000
1.112,1.282,1.399,0.903,1.053,1.000
-0.410,-0.660,-1.928,-0.578,-0.839,0.000
1.742,1.242,3.262,1.518,0.767,1.000
-0.000,-0.685,-2.083,-0.308,-0.600,0.000
0.417,1.222,1.598,0.158,0.775,1.000
2.303,2.001,1.133,0.191,2.068,1.000
0.826,3.482,2.024,1.140,1.689,1.000
-1.734,-1.445,-1.097,-2.944,-1.363,0.000
-1.271,-1.392,-2.968,-1.717,-2.225,0.000
0.271,1.458,0.524,2.238,1.384,1.000
-0.231,-2.371,-3.594,0.241,-1.255,0.000
1.834,2.480,2.895,-0.214,1.018,1.000
0.645,0.700,0.591,0.778,1.109,1.000
1.548,3.319,1.051,1.581,1.229,1.000
1.537,0.710,0.459,0.807,1.393,1.000
-1.711,-0.813,-2.758,-2.440,-0.423,0.000
1.190,2.384,1.341,1.073,2.125,1.000
2.843,1.250,0.677,1.639,2.075,1.000
1.589,1.279,1.382,-0.132,0.858,1.000
1.258,1.085,2.140,1.222,0.335,1.000
1.994,1.412,-0.324,-0.765,1.570,1.000
-0.036,1.857,3.315,-0.763,2.538,1.000
0.442,0.439,1.160,3.162,1.348,1.000
3.045,2.676,0.409,0.090,1.275,1.000
-2.147,-0.824,-2.836,-2.189,-0.985,0.000
-2.675,-2.675,-0.257,-2.129,-1.625,0.000
-1.267,-1.820,-1.373,-0.062,-2.630,0.000
-1.561,-0.582,-0.529,-2.829,-1.120,0.000
-1.023,-1.718,-1.448,-0.750,-2.204,0.000
0.717,1.267,1.165,0.230,0.742,1.000
-1.224,-2.723,0.688,-2.129,-1.167,0.000
-1.344,-1.479,-0.853,0.686,-2.148,0.000
-2.736,-0.603,0.914,-1.833,-3.793,0.000
-0.950,-0.507,-0.302,-0.715,-0.586,0.000
3.845,1.987,2.101,1.481,1.972,1.000
-1.449,-0.933,-1.054,-2.126,-0.060,0.000
2.425,1.462,1.182,2.413,1.305,1.000
-0.029,-1.388,-0.366,-1.247,-1.199,0.000
2.103,0.209,0.758,0.056,1.292,1.000
-0.112,-0.075,0.545,0.491,0.337,1.000
-0.516,-1.586,-1.298,-0.977,-1.593,0.000
-2.175,0.574,-1.376,-2.832,-0.627,0.000
-1.301,0.120,-1.551,-1.136,-0.293,0.000
1.034,1.133,0.901,0.283,2.776,1.000
-1.974,-2.091,-1.669,-1.909,-1.051,0.000
1.633,1.820,1.590,2.371,3.248,1.000
2.571,1.124,0.489,0.385,1.522,1.000
-3.272,-1.153,-1.776,-0.701,-0.845,0.000
-2.676,-2.000,-2.103,-0.845,-3.524,0.000
1.143,-0.234,2.761,0.378,-1.386,1.000
2.095,1.356,0.523,1.144,1.047,1.000
2.139,2.982,0.306,2.188,2.679,1.000
-0.697,0.501,-0.317,-2.445,1.073,0.000
3.558,1.902,2.066,0.756,2.152,1.000
1.735,2.185,0.867,1.016,2.367,1.000
1.095,0.987,0.937,2.025,2.327,1.000
-0.112,-0.577,-1.249,-1.903,0.104,0.000
1.908,-0.169,-0.478,0.738,1.165,1.000
-0.981,-1.120,0.059,-1.846,-1.367,0.000
1.252,2.887,1.348,-0.385,1.350,1.000
-1.294,-4.200,-1.034,-1.366,-3.123,0.000
-1.813,-0.400,-0.427,-1.835,-1.918,0.000
-1.437,-1.703,-1.671,-2.426,-1.765,0.000
-2.138,-1.523,-1.918,-2.960,-2.169,0.000
-0.846,-2.488,1.651,-1.409,-2.769,0.000
-2.953,-2.101,-2.035,-2.381,-2.007,0.000
0.230,1.060,2.755,2.705,1.946,1.000
-3.442,-1.954,-3.287,-1.947,-2.158,0.000
-2.140,-0.173,-1.761,-1.484,-2.056,0.000
-0.208,-2.912,-5.415,-0.752,0.426,0.000
2.918,0.834,1.176,1.072,3.668,1.000
-2.172,-1.069,-1.284,-1.032,-1.251,0.000
-0.603,1.769,1.960,2.145,1.487,1.000
1.709,1.292,2.243,2.093,1.015,1.000
-0.140,1.644,1.666,1.430,0.726,1.000
3.351,1.015,0.138,-0.460,0.996,1.000
3.058,1.953,1.661,1.822,1.630,1.000
2.053,4.214,0.982,1.383,1.510,1.000
-0.784,-1.118,-0.477,-0.905,-1.393,0.000
-2.166,-0.566,-1.669,-0.792,-1.628,0.000
0.059,-2.094,-2.639,0.408,-1.873,0.000
2.305,3.320,1.914,0.688,1.422,1.000
0.627,1.353,0.361,0.180,0.481,1.000
1.597,1.846,0.201,1.463,1.479,1.000
1.871,4.765,1.686,2.046,1.391,1.000
-1.154,-0.758,-0.694,-3.221,-0.950,0.000
1.167,0.297,0.536,1.694,2.158,1.000
-2.829,-0.585,-0.598,-1.872,-2.210,0.000
-2.301,-0.677,-1.779,-1.508,-0.109,0.000
-1.370,-1.878,-0.945,-0.676,-2.765,0.000
1.059,1.536,-1.160,0.935,2.019,1.000
-2.478,-0.846,-1.108,-3.152,-1.374,0.000
0.318,3.198,-0.280,2.065,0.635,1.000
-0.411,-0.082,3.890,3.331,0.231,1.000
0.877,1.778,2.109,2.072,1.874,1.000
-2.405,-1.204,-1.719,-1.448,-1.181,0.000
-0.014,-1.159,-2.162,-1.690,-1.279,0.000
-1.038,-0.592,-1.597,-3.578,-0.740,0.000
-1.905,-2.166,-0.405,-3.354,-1.845,0.000
-1.746,-1.065,0.013,-1.185,-1.394,0.000
0.709,-0.780,-2.371,-1.461,-1.507,0.000
3.910,0.723,1.492,1.895,1.100,1.000
-0.859,-1.351,-0.740,0.435,0.088,0.000
0.735,2.965,2.358,3.834,2.062,1.000
2.007,0.544,1.431,1.379,1.133,1.000
2.200,0.417,1.706,0.996,0.802,1.000
0.972,1.254,1.441,1.656,0.605,1.000
2.782,3.152,2.515,2.413,1.420,1.000
-1.866,-1.612,-2.265,-2.055,-1.491,0.000
0.747,2.484,3.417,2.241,2.178,1.000
-2.899,-2.336,-1.523,-0.409,-1.370,0.000
-2.148,-0.596,-1.008,0.207,-2.192,0.000
-0.463,-1.061,-1.110,-0.989,-3.833,0.000
1.299,2.701,2.858,0.180,2.593,1.000
-2.164,-2.231,-2.610,-2.369,-2.466,0.000
